Replacement,Original
I,i
I'm,i'm
I've,i've
I'll,i'll
I'd,i'd
Monday,monday
Mondays,mondays
Tuesday,tuesday
Tuesdays,tuesdays
Wednesday,wednesday
Wednesdays,wednesdays
Thursday,thursday
Thursdays,thursdays
Friday,friday
Fridays,fridays
Saturday,saturday
Saturdays,saturdays
Sunday,sunday
Sundays,sundays
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
color,colour
leads,Leeds
leads,leeds
false,negative
null,nil
json,Jason
console,consul
style,stylish
modal,moodle
jest,gerry
hide,Hyde
jira,juror
lead details,Lee details
npm,package manager
udemy,you do me
regex,rejects
regex,rednecks
center,centre
cloudflare,cloud flare
px,pixel
elastic,alas tick
async,a think
async,a sink
sync,sink
async,a sync
react,reactive

